"provincia";"partido";"nombre";"nombre_foto"
"VALLADOLID";"PSOE";"Sergio García";"04_sergio_garcia_psoe_valladolid.jpg"
"VALLADOLID";"PSOE";"Ana Casado";"05_ana_casado_psoe_valladolid.jpg"
"VALLADOLID";"PSOE";"Diego Vallejo";"06_diego_vallejo_psoe_valladolid.jpg"
"VALLADOLID";"IU";"Juan Gascón";"01_juan_gascon_iu_valladolid.jpg"
"ZAMORA";"PSOE";"Iñaki Gómez";"01_iñaki_gomez_psoe_zamora.jpg"
"ZAMORA";"PSOE";"Patricia Martín";"02_patricia_martin_psoe_zamora.jpg"
"ZAMORA";"PSOE";"Javier García Martín";"03_javier_garcia_martin_psoe_zamora.jpg"
"ÁVILA";"POR ÁVILA";"Pedro José Pascual Muñoz";"01_pedro_jose_pascual_muñoz_poravila_avila.jpg"
"ÁVILA";"POR ÁVILA";"Pilar Muñoyerro";"02_pilar_munoyerro_poravila_avila.jpg"
"ÁVILA";"PP";"Cristina Sanchidrián";"01_cristina_sanchidrian_pp_avila.jpg"
"ÁVILA";"PP";"David Beltrán";"02_david_beltran_pp_avila.jpg"
"ÁVILA";"PP";"María Ángeles Prieto";"03_maría_angeles_prieto_pp_avila.jpg"
"ÁVILA";"PP";"David Jiménez";"04_david_jimenez_pp_avila.jpg"
"ÁVILA";"PP";"María del Mar Díaz";"05_maria_del_mar_diaz_pp_avila.jpg"
"ÁVILA";"PSOE";"Carmen Iglesias";"01_carmen_iglesias_psoe_avila.jpg"
"ÁVILA";"PSOE";"Iván Zazo";"02_ivan_zazo_psoe_avila.jpg"
"ÁVILA";"PSOE";"Natalia Torrecilla";"03_natalia_torrecilla_psoe_avila.jpg"
"ÁVILA";"VOX";"José Antonio Palomo";"01_jose_antonio_palomo_vox_avila.jpg"
"ÁVILA";"VOX";"Clara Rubio";"02_clara_rubio_vox_avila.jpg"
